Franchise ID,names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
42,The Transformers: The Movie,12/26/1986,72,"Animation, Science Fiction, Action, Adventure, Family","The Autobots must stop a colossal planet-consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.","Judd Nelson, Hot Rod / Rodimus Prime (voice), Peter Cullen, Optimus Prime (voice), Frank Welker, Megatron / Soundwave / Rumble (voice), Leonard Nimoy, Galvatron (voice), Orson Welles, Unicron (voice), Casey Kasem, Cliffjumper (voice), Dan Gilvezan, Bumblebee (voice), Scatman Crothers, Jazz (voice), Susan Blu, Arcee (voice)",The Transformers: The Movie, Released, English,6000000,5849647,AU
42,Transformers,6/28/2007,68,"Adventure, Science Fiction, Action",Young teenager Sam Witwicky becomes involved in the ancient struggle between two extraterrestrial factions of transforming robots â€“ the heroic Autobots and the evil Decepticons. Sam holds the clue to unimaginable power and the Decepticons will stop at nothing to retrieve it.,"Shia LaBeouf, Sam Witwicky, Megan Fox, Mikaela Banes, Josh Duhamel, Captain Lennox, Tyrese Gibson, USAF Tech Sergeant Epps, Rachael Taylor, Maggie Madsen, Anthony Anderson, Glen Whitman, Jon Voight, Defense Secretary John Keller, John Turturro, Agent Simmons, Michael O'Neill, Tom Banacheck",Transformers, Released, English,151000000,708272592,AU
42,Transformers: Age of Extinction,6/26/2014,59,"Science Fiction, Action, Adventure","As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.","Mark Wahlberg, Cade Yeager, Stanley Tucci, Joshua Joyce, Nicola Peltz Beckham, Tessa Yeager, Jack Reynor, Shane Dyson, Titus Welliver, James Savoy, Kelsey Grammer, Harold Attinger, Sophia Myles, Darcy Tirrel, Li Bingbing, Su Yueming, T.J. Miller, Lucas Flannery",Transformers: Age of Extinction, Released, English,210000000,1104054072,AU
42,Transformers: Dark of the Moon,6/29/2011,62,"Science Fiction, Action, Adventure","The Autobots continue to work for NEST, now no longer in secret. But after discovering a strange artifact during a mission in Chernobyl, it becomes apparent to Optimus Prime that the United States government has been less than forthright with them.","Shia LaBeouf, Sam Witwicky, Rosie Huntington-Whiteley, Carly, Josh Duhamel, Lennox, John Turturro, Simmons, Tyrese Gibson, Epps, Patrick Dempsey, Dylan, Frances McDormand, Mearing, John Malkovich, Bruce Brazos, Kevin Dunn, Ron Witwicky",Transformers: Dark of the Moon, Released, English,195000000,1123794079,AU
42,Transformers: Prime Beast Hunters: Predacons Rising,10/4/2013,82,"Science Fiction, Action, Adventure","Autobots, Decepticons, Predaking and Predacons form an unlikely alliance to battle a resurrected Unicron.","Peter Cullen, Optimus Prime (voice), Frank Welker, Megatron (voice), Sumalee Montano, Arcee (voice), Jeffrey Combs, Ratchet (voice), Will Friedle, Bumblebee (voice), James Horan, Wheeljack (voice), Michael Ironside, Ultra Magnus (voice), Peter Mensah, Predaking (voice), John Noble, Unicron (voice)",Transformers: Prime Beast Hunters: Predacons Rising, Released, English,120800000,986918992.2,US
42,Transformers: Revenge of the Fallen,6/24/2009,62,"Science Fiction, Action, Adventure","Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.","Shia LaBeouf, Sam Witwicky, Megan Fox, Mikaela Banes, Josh Duhamel, Major Lennox, Tyrese Gibson, USAF Chief Master Sergeant Epps, John Turturro, Simmons, RamÃ³n RodrÃ­guez, Leo Spitz, Kevin Dunn, Ron Witwicky, Julie White, Judy Witwicky, Isabel Lucas, Alice",Transformers: Revenge of the Fallen, Released, English,210000000,836519699,AU
42,Transformers: Rise of the Beasts,6/9/2023,0,"Science Fiction, Action, Adventure","A â€˜90s globetrotting adventure that introduces the Maximals, Predacons, and Terrorcons to the existing battle on earth between Autobots and Decepticons.","Anthony Ramos, Noah, Dominique Fishback, Elena, Tobe Nwigwe, Reek, Peter Cullen, Optimus Prime (voice), Ron Perlman, Optimus Primal (voice), Michelle Yeoh, Airazor (voice), Pete Davidson, Mirage (voice), Peter Dinklage, Scourge (voice), Liza Koshy, Arcee (voice)",Transformers: Rise of the Beasts, Post Production, English,200000000,1240261.6,US
42,Transformers: The Last Knight,6/16/2017,61,"Science Fiction, Action, Adventure","Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.","Mark Wahlberg, Cade Yeager, Josh Duhamel, Col. William Lennox, Stanley Tucci, Merlin, Anthony Hopkins, Sir Edmund Burton, Laura Haddock, Vivian Wembley, Jerrod Carmichael, Jimmy, Isabela Merced, Izabella, Santiago Cabrera, Santos, Minti Gorne, Young Viviane",Transformers: The Last Knight, Released, English,217000000,602893340,AU
43,The Twilight Saga: Breaking Dawn - Part 1,11/17/2011,62,"Adventure, Fantasy, Romance",The new found married bliss of Bella Swan and vampire Edward Cullen is cut short when a series of betrayals and misfortunes threatens to destroy their world.,"Kristen Stewart, Bella Swan, Robert Pattinson, Edward Cullen, Taylor Lautner, Jacob Black, Billy Burke, Charlie Swan, Peter Facinelli, Dr. Carlisle Cullen, Michael Sheen, Aro, Elizabeth Reaser, Esme Cullen, Kellan Lutz, Emmett Cullen, Nikki Reed, Rosalie Hale",The Twilight Saga: Breaking Dawn - Part 1, Released, English,110000000,712171856,AU
43,The Twilight Saga: Breaking Dawn - Part 2,11/15/2012,65,"Adventure, Fantasy, Drama, Romance","After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.","Robert Pattinson, Edward Cullen, Kristen Stewart, Bella Swan, Taylor Lautner, Jacob Black, Peter Facinelli, Carlisle Cullen, Elizabeth Reaser, Esme Cullen, Ashley Greene, Alice Cullen, Jackson Rathbone, Jasper Hale, Nikki Reed, Rosalie Hale, Kellan Lutz, Emmett Cullen",The Twilight Saga: Breaking Dawn - Part 2, Released, English,120000000,829747654,AU
